,ADM2_PCODE,ADM2_EN,LK1_Count,LK2_Count
0,PH133900000,NCR,131.0,156.0
1,PH140100000,Abra,,
2,PH160200000,Agusan del Norte,5.0,6.0
3,PH160300000,Agusan del Sur,1.0,1.0
4,PH060400000,Aklan,5.0,6.0
5,PH050500000,Albay,5.0,7.0
6,PH060600000,Antique,1.0,1.0
7,PH148100000,Apayao,,
8,PH037700000,Aurora,,
9,PH150700000,Basilan,,2.0
10,PH030800000,Bataan,2.0,7.0
11,PH020900000,Batanes,,
12,PH041000000,Batangas,16.0,12.0
13,PH141100000,Benguet,7.0,5.0
14,PH087800000,Biliran,,
15,PH071200000,Bohol,2.0,2.0
16,PH101300000,Bukidnon,2.0,1.0
17,PH031400000,Bulacan,26.0,23.0
18,PH021500000,Cagayan,4.0,5.0
19,PH051600000,Camarines Norte,3.0,3.0
20,PH051700000,Camarines Sur,9.0,5.0
21,PH101800000,Camiguin,,
22,PH061900000,Capiz,1.0,
23,PH052000000,Catanduanes,,
24,PH042100000,Cavite,22.0,28.0
25,PH072200000,Cebu,14.0,18.0
26,PH099700000,City of Isabela,,
27,PH118200000,Compostela Valley,,
28,PH124700000,Cotabato,1.0,4.0
29,PH129800000,Cotabato City,,
30,PH112300000,Davao del Norte,,1.0
31,PH112400000,Davao del Sur,10.0,12.0
32,PH118600000,Davao Occidental,,
33,PH112500000,Davao Oriental,,
34,PH168500000,Dinagat Islands,,
35,PH082600000,Eastern Samar,,3.0
36,PH067900000,Guimaras,,
37,PH142700000,Ifugao,,
38,PH012800000,Ilocos Norte,4.0,4.0
39,PH012900000,Ilocos Sur,2.0,4.0
40,PH063000000,Iloilo,7.0,30.0
41,PH023100000,Isabela,3.0,2.0
42,PH143200000,Kalinga,,
43,PH013300000,La Union,2.0,1.0
44,PH043400000,Laguna,21.0,30.0
45,PH103500000,Lanao del Norte,1.0,2.0
46,PH153600000,Lanao del Sur,26.0,4.0
47,PH083700000,Leyte,5.0,10.0
48,PH153800000,Maguindanao,1.0,
49,PH174000000,Marinduque,,
50,PH054100000,Masbate,1.0,2.0
51,PH104200000,Misamis Occidental,1.0,5.0
52,PH104300000,Misamis Oriental,4.0,7.0
53,PH144400000,Mountain Province,,
54,PH064500000,Negros Occidental,11.0,10.0
55,PH074600000,Negros Oriental,2.0,
56,PH084800000,Northern Samar,,
57,PH034900000,Nueva Ecija,3.0,7.0
58,PH025000000,Nueva Vizcaya,1.0,3.0
59,PH175100000,Occidental Mindoro,1.0,2.0
60,PH175200000,Oriental Mindoro,,2.0
61,PH175300000,Palawan,6.0,3.0
62,PH035400000,Pampanga,7.0,15.0
63,PH015500000,Pangasinan,3.0,8.0
64,PH045600000,Quezon,7.0,10.0
65,PH025700000,Quirino,1.0,1.0
66,PH045800000,Rizal,24.0,36.0
67,PH175900000,Romblon,,
68,PH086000000,Samar,,
69,PH128000000,Sarangani,,
70,PH076100000,Siquijor,,
71,PH056200000,Sorsogon,,
72,PH126300000,South Cotabato,4.0,4.0
73,PH086400000,Southern Leyte,,1.0
74,PH126500000,Sultan Kudarat,,
75,PH156600000,Sulu,,
76,PH166700000,Surigao del Norte,2.0,1.0
77,PH166800000,Surigao del Sur,1.0,
78,PH036900000,Tarlac,4.0,5.0
79,PH157000000,Tawi-Tawi,,1.0
80,PH037100000,Zambales,,2.0
81,PH097200000,Zamboanga del Norte,,
82,PH097300000,Zamboanga del Sur,2.0,41.0
83,PH098300000,Zamboanga Sibugay,,11.0
